create file
Number of training examples: 80
Number of validation examples: 15
Number of testing examples: 5
Unique tokens in source assembly vocabulary: 72 
Max input length : 491
Max output length : 6
Epoch: 0 | Time: 0m 13s | learning rate 0.003
  - (Training)   ppl:  1.00004, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 43 | Time: 0m 1s | learning rate 0.137
  - (Training)   ppl:  1.00004, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 44 | Time: 0m 1s | learning rate 0.141
  - (Training)   ppl:  1.00004, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 45 | Time: 0m 1s | learning rate 0.144
  - (Training)   ppl:  1.00003, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 46 | Time: 0m 1s | learning rate 0.147
  - (Training)   ppl:  1.00003, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 47 | Time: 0m 1s | learning rate 0.150
  - (Training)   ppl:  1.00003, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 48 | Time: 0m 1s | learning rate 0.153
  - (Training)   ppl:  1.00003, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 49 | Time: 0m 1s | learning rate 0.156
  - (Training)   ppl:  1.00003, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 50 | Time: 0m 1s | learning rate 0.159
  - (Training)   ppl:  1.00003, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 51 | Time: 0m 1s | learning rate 0.162
  - (Training)   ppl:  1.00002, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 52 | Time: 0m 1s | learning rate 0.166
  - (Training)   ppl:  1.00002, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 53 | Time: 0m 1s | learning rate 0.169
  - (Training)   ppl:  1.00002, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 54 | Time: 0m 1s | learning rate 0.172
  - (Training)   ppl:  1.00002, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 55 | Time: 0m 1s | learning rate 0.175
  - (Training)   ppl:  1.00002, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 56 | Time: 0m 1s | learning rate 0.178
  - (Training)   ppl:  1.00002, accuracy: 100.000 %, elapse: 0.026 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.026 min
Epoch: 57 | Time: 0m 1s | learning rate 0.181
  - (Training)   ppl:  1.00002, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 58 | Time: 0m 1s | learning rate 0.184
  - (Training)   ppl:  1.00001, accuracy: 100.000 %, elapse: 0.027 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.027 min
Epoch: 59 | Time: 0m 1s | learning rate 0.187
  - (Training)   ppl:  1.00001, accuracy: 100.000 %, elapse: 0.025 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.025 min
Epoch: 60 | Time: 0m 1s | learning rate 0.191
  - (Training)   ppl:  1.00001, accuracy: 100.000 %, elapse: 0.025 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.025 min
Epoch: 61 | Time: 0m 1s | learning rate 0.194
  - (Training)   ppl:  1.00001, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 62 | Time: 0m 1s | learning rate 0.197
  - (Training)   ppl:  1.00001, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 63 | Time: 0m 1s | learning rate 0.200
  - (Training)   ppl:  1.00001, accuracy: 100.000 %, elapse: 0.025 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.025 min
Epoch: 64 | Time: 0m 1s | learning rate 0.203
  - (Training)   ppl:  1.00001, accuracy: 100.000 %, elapse: 0.025 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.025 min
Epoch: 65 | Time: 0m 1s | learning rate 0.206
  - (Training)   ppl:  1.00001, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 66 | Time: 0m 1s | learning rate 0.209
  - (Training)   ppl:  1.00001, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 67 | Time: 0m 1s | learning rate 0.212
  - (Training)   ppl:  1.00001, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 68 | Time: 0m 1s | learning rate 0.216
  - (Training)   ppl:  1.00001, accuracy: 100.000 %, elapse: 0.025 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.025 min
Epoch: 69 | Time: 0m 1s | learning rate 0.219
  - (Training)   ppl:  1.00001, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 70 | Time: 0m 1s | learning rate 0.222
  - (Training)   ppl:  1.00001, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 71 | Time: 0m 1s | learning rate 0.225
  - (Training)   ppl:  1.00001, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 72 | Time: 0m 1s | learning rate 0.228
  - (Training)   ppl:  1.00001, accuracy: 100.000 %, elapse: 0.023 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.023 min
Epoch: 73 | Time: 0m 1s | learning rate 0.231
  - (Training)   ppl:  1.00001, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 74 | Time: 0m 1s | learning rate 0.234
  - (Training)   ppl:  1.00001, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 75 | Time: 0m 1s | learning rate 0.237
  - (Training)   ppl:  1.00001, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 76 | Time: 0m 1s | learning rate 0.241
  - (Training)   ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 77 | Time: 0m 1s | learning rate 0.244
  - (Training)   ppl:  1.00001, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 78 | Time: 0m 1s | learning rate 0.247
  - (Training)   ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 79 | Time: 0m 1s | learning rate 0.250
  - (Training)   ppl:  1.00000, accuracy: 100.000 %, elapse: 0.023 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.023 min
Epoch: 80 | Time: 0m 1s | learning rate 0.253
  - (Training)   ppl:  1.00000, accuracy: 100.000 %, elapse: 0.023 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.023 min
Epoch: 81 | Time: 0m 1s | learning rate 0.256
  - (Training)   ppl:  1.00000, accuracy: 100.000 %, elapse: 0.023 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.023 min
Epoch: 82 | Time: 0m 1s | learning rate 0.259
  - (Training)   ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 83 | Time: 0m 1s | learning rate 0.262
  - (Training)   ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 84 | Time: 0m 1s | learning rate 0.266
  - (Training)   ppl:  1.00000, accuracy: 100.000 %, elapse: 0.025 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.025 min
Epoch: 85 | Time: 0m 1s | learning rate 0.269
  - (Training)   ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 86 | Time: 0m 1s | learning rate 0.272
  - (Training)   ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 87 | Time: 0m 1s | learning rate 0.275
  - (Training)   ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 88 | Time: 0m 1s | learning rate 0.278
  - (Training)   ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 89 | Time: 0m 1s | learning rate 0.281
  - (Training)   ppl:  1.00000, accuracy: 100.000 %, elapse: 0.023 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.023 min
Epoch: 90 | Time: 0m 1s | learning rate 0.284
  - (Training)   ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 91 | Time: 0m 1s | learning rate 0.287
  - (Training)   ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 92 | Time: 0m 1s | learning rate 0.291
  - (Training)   ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 93 | Time: 0m 1s | learning rate 0.294
  - (Training)   ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 94 | Time: 0m 1s | learning rate 0.297
  - (Training)   ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 95 | Time: 0m 1s | learning rate 0.300
  - (Training)   ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 96 | Time: 0m 1s | learning rate 0.303
  - (Training)   ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 97 | Time: 0m 1s | learning rate 0.306
  - (Training)   ppl:  1.00000, accuracy: 100.000 %, elapse: 0.023 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.023 min
Epoch: 98 | Time: 0m 1s | learning rate 0.309
  - (Training)   ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 99 | Time: 0m 1s | learning rate 0.312
  - (Training)   ppl:  1.00000, accuracy: 100.000 %, elapse: 0.023 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.023 min
  - (Test)       ppl:  1.00000, accuracy: 100.000 %, elapse: 0.002 min
